"","fta.score","prop.score","number.successes","processing.accuracy","processing.median.rt","max.span","span.2.corr","span.3.corr","span.4.corr","span.5.corr","span.6.corr","span.7.corr","span.8.corr","span.9.corr","pcode"
"1",16,0.439761904761905,37,0.917647058823529,1282,6,3,0,1,0,1,0,NA,NA,99999
"2",11,0.38202380952381,26,1,3158,5,3,0,0,1,0,0,NA,NA,1
"3",23,0.633095238095238,49,0.988235294117647,4253,4,3,3,2,0,0,0,NA,NA,2
"4",28,0.672857142857143,50,0.988235294117647,693,6,4,3,0,1,1,0,NA,NA,3
"5",25,0.637261904761905,44,1,1314,5,5,2,1,1,0,0,NA,NA,4
"6",55,NA,97,0.952941176470588,889.5,6,9,4,1,3,1,0,NA,NA,5
"7",49,0.78797619047619,63,0.847058823529412,819,7,4,3,2,2,0,2,NA,NA,7
"8",67,0.9375,77,0.988235294117647,1943,7,5,3,2,3,3,1,NA,NA,8
"9",25,0.714047619047619,55,0.952941176470588,800,6,4,1,2,0,1,0,NA,NA,9
"10",45,0.853809523809524,68,0.988235294117647,711,7,5,3,2,1,1,1,NA,NA,10
"11",32,0.77797619047619,58,0.976470588235294,1081,5,5,3,2,1,0,0,NA,NA,11
"12",7,0.275,14,0.717647058823529,1049,3,2,1,0,0,0,0,NA,NA,12
"13",35,0.763809523809524,58,1,1076,6,4,3,3,0,1,0,NA,NA,13
"14",7,0.36,24,0.882352941176471,941,3,2,1,0,0,0,0,NA,NA,14
"15",2,0.188333333333333,12,0.541176470588235,1621,2,1,0,0,0,0,0,NA,NA,15
"16",4,0.193928571428571,12,0.694117647058824,2581,2,2,0,0,0,0,0,NA,NA,16
"17",26,0.643571428571429,48,0.964705882352941,1054,6,3,2,2,0,1,0,NA,NA,17
"18",19,0.510952380952381,45,0.905882352941176,687,6,2,0,1,1,1,0,NA,NA,18
"19",39,0.798571428571429,64,1,1558,6,4,3,0,2,2,0,NA,NA,19
"20",39,0.750238095238095,59,0.964705882352941,863,7,4,2,2,2,0,1,NA,NA,20
"21",25,0.634642857142857,46,0.929411764705882,1471,7,4,2,1,0,0,1,NA,NA,21
"22",40,0.815238095238095,64,0.988235294117647,785,6,4,3,3,1,1,0,NA,NA,22
"23",41,0.759404761904762,56,0.941176470588235,1182,6,5,2,2,1,2,0,NA,NA,23
"24",13,0.432261904761905,30,0.905882352941176,984,4,3,1,1,0,0,0,NA,NA,24
"25",6,0.280119047619048,17,0.505882352941176,4847,2,3,0,0,0,0,0,NA,NA,25
"26",53,0.903571428571429,73,1,1141,7,5,3,3,3,0,1,NA,NA,26
"27",20,0.54547619047619,36,0.764705882352941,1227,4,3,2,2,0,0,0,NA,NA,27
"28",68,NA,101,0.988235294117647,848.5,6,9,5,6,1,1,0,NA,NA,28
"29",23,0.677738095238095,47,0.988235294117647,957,4,5,3,1,0,0,0,NA,NA,29
"30",14,0.457142857142857,31,0.976470588235294,861,5,3,1,0,1,0,0,NA,NA,30
"31",65,0.914285714285714,77,1,548,7,4,3,2,3,3,1,NA,NA,31
"32",10,0.30547619047619,19,0.541176470588235,1691,4,3,0,1,0,0,0,NA,NA,32
"33",25,0.66547619047619,52,0.470588235294118,1193,5,3,2,2,1,0,0,NA,NA,33
"34",9,0.335952380952381,20,0.611764705882353,2074,3,3,1,0,0,0,0,NA,NA,34
"35",63,0.938333333333333,78,0.964705882352941,680,7,5,3,3,1,1,3,NA,NA,35
"36",41,0.786190476190476,58,0.988235294117647,935,5,5,3,3,2,0,0,NA,NA,36
"37",43,0.675357142857143,57,0.952941176470588,654,7,4,2,1,1,1,2,NA,NA,37
"38",22,0.604285714285714,43,1,1169,5,5,1,1,1,0,0,NA,NA,38
"39",33,0.733571428571429,52,1,1184,5,5,3,1,2,0,0,NA,NA,39
"40",42,0.780952380952381,58,0.941176470588235,761,5,5,3,2,3,0,0,NA,NA,40
"41",33,0.733690476190476,53,1,1452,5,5,3,1,2,0,0,NA,NA,41
"42",44,0.836428571428571,66,1,2113,7,5,3,2,2,0,1,NA,NA,42
"43",14,0.560595238095238,39,0.929411764705882,862,3,4,2,0,0,0,0,NA,NA,43
"44",7,0.259166666666667,16,0.929411764705882,1199,3,2,1,0,0,0,0,NA,NA,44
