StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Warning,consent,age,sex,own_formidability,own_imagination,timer_instr_First Click,timer_instr_Last Click,timer_instr_Page Submit,timer_instr_Click Count,instr,Q18_First Click,Q18_Last Click,Q18_Page Submit,Q18_Click Count,check1,time_First Click,time_Last Click,time_Page Submit,time_Click Count,non_g_check,time_First Click,time_Last Click,time_Page Submit,time_Click Count,gruesome_check,BP_AQ_1,BP_AQ_2,BP_AQ_3,BP_AQ_4,BP_AQ_5,BP_AQ_6,BP_AQ_7,BP_AQ_8,BP_AQ_9,height_1,height_11,motivated,win_next_fight,poison,visual_size_1,visual_size_2,visual_size_3,visual_size_4,visual_size_5,visual_size_6,visual_strength_1,visual_strength_2,visual_strength_3,visual_strength_4,visual_strength_5,visual_strength_6,comments,mTurkCode
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"The purpose of this study is to understand how people imagine others. In particular, we are interested in how people perceive others in a violent situation. If you are uncomfortable with reading and imagining a story that involves violence, you should not participate in this study. This study should take about 3 minutes.",Consent for Participation in a Research Study Study Title: Imagining Others Prin,Please enter your age,What is your sex?,"Relative to the typical person of your gender, how good at physical fighting would you be if you were attacked?","Relative to the typical person of your gender, how good is your imagination?",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"The purpose of this study is to understand how people imagine others. In particular, we are interested in how people perceive others when they are acting violently. Following this page, you will be asked to read a story about an act of violence. If you are uncomfortable with this, you should not participate in this study. This study should only take about 3 minutes. 

 

NOTE - You will be asked 2 simple questions about the content of the story to ensure that you've read it. These questions are very easy if you read the story.

If you do not answer the 2 content questions correctly, your HIT may be rejected. 



Make sure you are not distracted when taking this survey. When you are ready, please click the box below.",Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,What was the man doing in the forest?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,What did the fisherman find in the hunter's pocket?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,What did the fisherman find in the hunter's pocket?,"If he had to resort to violence to protect his rights, he would",He has been so mad that he has broken things,"Once in a while, he can't control his urge to strike another person",He has threatened people he knew,"Given enough provocation, he may hit another person",He could think of no good reason for ever hitting another person,"If somebody hits him, he hits back",There are people who have pushed him so far that he came to blows with them,He gets into fights a little more than the average person,"How tall do you think the fisherman is? 
Please enter height in feet (top) and inches (bottom) - Feet","How tall do you think the fisherman is? 
Please enter height in feet (top) and inches (bottom) - Inches","On a scale of 1 to 10, with 10 being the most:
 

How motivated is the fisherman to overcome his enemies?","On a scale of 1 to 10, with 10 being the most: 
 

How likely is the fisherman to win a fistfight?","On a scale of 1 to 10, with 10 being the most: 
 

How likely is it that the fisherman would be capable of successfully poisoning his enemies without their knowledge?",visual_size - 1,visual_size - 2,visual_size - 3,visual_size - 4,visual_size - 5,visual_size - 6,visual_strength - 1,visual_strength - 2,visual_strength - 3,visual_strength - 4,visual_strength - 5,visual_strength - 6,We appreciate your participation. Do you have any comments about this study?,mTurkCode
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID34""}","{""ImportId"":""QID1""}","{""ImportId"":""QID21_TEXT""}","{""ImportId"":""QID22""}","{""ImportId"":""QID29""}","{""ImportId"":""QID33""}","{""ImportId"":""QID3_FIRST_CLICK""}","{""ImportId"":""QID3_LAST_CLICK""}","{""ImportId"":""QID3_PAGE_SUBMIT""}","{""ImportId"":""QID3_CLICK_COUNT""}","{""ImportId"":""QID2""}","{""ImportId"":""QID18_FIRST_CLICK""}","{""ImportId"":""QID18_LAST_CLICK""}","{""ImportId"":""QID18_PAGE_SUBMIT""}","{""ImportId"":""QID18_CLICK_COUNT""}","{""ImportId"":""QID5""}","{""ImportId"":""QID11_FIRST_CLICK""}","{""ImportId"":""QID11_LAST_CLICK""}","{""ImportId"":""QID11_PAGE_SUBMIT""}","{""ImportId"":""QID11_CLICK_COUNT""}","{""ImportId"":""QID7""}","{""ImportId"":""QID10_FIRST_CLICK""}","{""ImportId"":""QID10_LAST_CLICK""}","{""ImportId"":""QID10_PAGE_SUBMIT""}","{""ImportId"":""QID10_CLICK_COUNT""}","{""ImportId"":""QID9""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36""}","{""ImportId"":""QID37""}","{""ImportId"":""QID38""}","{""ImportId"":""QID39""}","{""ImportId"":""QID40""}","{""ImportId"":""QID41""}","{""ImportId"":""QID42""}","{""ImportId"":""QID43""}","{""ImportId"":""QID28_1""}","{""ImportId"":""QID28_11""}","{""ImportId"":""QID32""}","{""ImportId"":""QID15""}","{""ImportId"":""QID48""}","{""ImportId"":""QID16_5""}","{""ImportId"":""QID16_6""}","{""ImportId"":""QID16_7""}","{""ImportId"":""QID16_8""}","{""ImportId"":""QID16_9""}","{""ImportId"":""QID16_10""}","{""ImportId"":""QID47_5""}","{""ImportId"":""QID47_6""}","{""ImportId"":""QID47_7""}","{""ImportId"":""QID47_8""}","{""ImportId"":""QID47_9""}","{""ImportId"":""QID47_10""}","{""ImportId"":""QID23_TEXT""}","{""ImportId"":""mTurkCode""}"
2019-07-12 14:43:18,2019-07-12 14:45:07,0,73.53.88.138,100,109,1,2019-07-12 14:45:08,R_2z7r8HTvoJS9EYD,,,,,47.6721954345703125,-122.125701904296875,anonymous,EN,4,1,28,2,5,5,6.124,6.124,7.187,1,1,0,0,21.757,0,1,0,0,16.314,0,1,,,,,,2,3,2,3,2,3,2,4,2,4,4,5,5,5,Off,Off,On,Off,Off,Off,Off,On,Off,Off,Off,Off,no,6529528
2019-07-12 14:43:13,2019-07-12 14:45:41,0,108.234.112.165,100,148,1,2019-07-12 14:45:41,R_56GYUlLTsEdRvy1,,,,,33.8350982666015625,-117.865203857421875,anonymous,EN,4,1,30,2,3,10,4.034,4.034,5.983,1,1,0,0,32.811,0,1,,,,,,0,0,17.576,0,2,5,2,2,3,2,4,4,4,2,6,2,9,8,8,Off,Off,Off,On,Off,Off,Off,On,Off,Off,Off,Off,,4064495
2019-07-12 14:43:31,2019-07-12 14:45:51,0,207.172.250.154,100,140,1,2019-07-12 14:45:52,R_3lzydvCI5Dr7NXv,,,,,40.65570068359375,-75.46929931640625,anonymous,EN,4,1,36,1,7,6,1.45,1.45,5.969,1,1,8.849,8.849,17.193,1,1,0,0,14.185,0,1,,,,,,2,2,3,3,3,4,3,3,4,6,1,8,7,6,Off,Off,Off,On,Off,Off,Off,Off,Off,On,Off,Off,,9581861
2019-07-12 14:43:53,2019-07-12 14:45:56,0,137.25.84.115,100,122,1,2019-07-12 14:45:56,R_Tt7oQe6OPUXgo4p,,,,,33.9687042236328125,-118.0370025634765625,anonymous,EN,4,1,31,2,8,10,3.605,3.605,6.063,1,1,0,0,16.686,0,1,0,0,10.284,0,1,,,,,,4,3,2,2,4,3,4,2,2,5,8,7,9,7,Off,Off,Off,On,Off,Off,Off,Off,Off,On,Off,Off,,4795520
2019-07-12 14:44:16,2019-07-12 14:46:03,0,73.6.159.70,100,107,1,2019-07-12 14:46:03,R_bI2a5g1V13jb1Wp,,,,,29.832305908203125,-95.73600006103515625,anonymous,EN,4,1,22,2,2,9,1.429,7.011,7.953,2,1,0,0,16.886,0,1,0,0,9.69,0,1,,,,,,2,2,2,3,2,2,2,2,2,5,11,4,5,5,Off,Off,Off,On,Off,Off,Off,Off,On,Off,Off,Off,,9952963
2019-07-12 14:43:24,2019-07-12 14:46:10,0,71.125.80.26,100,166,1,2019-07-12 14:46:10,R_3MRPv5y7Nr8QWli,,,,,40.7180023193359375,-74.07330322265625,anonymous,EN,4,1,20,1,5,7,3.424,3.424,13.411,1,1,0,0,39.589,0,1,,,,,,0,0,24.129,0,2,4,4,4,4,4,2,4,4,5,6,2,7,9,8,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,On,,3391277
2019-07-12 14:43:39,2019-07-12 14:46:16,0,184.88.54.11,100,157,1,2019-07-12 14:46:17,R_2ZVS1EnxVcajK9G,,,,,28.5503997802734375,-81.18329620361328125,anonymous,EN,4,1,24,1,8,8,2.284,2.284,12.606,1,1,0,0,17.264,0,1,,,,,,0,0,12.94,0,2,5,5,5,5,5,1,5,5,5,6,1,10,7,7,Off,Off,Off,Off,On,Off,Off,Off,On,Off,Off,Off,,3917255
2019-07-12 14:43:19,2019-07-12 14:46:21,0,82.32.26.157,100,181,1,2019-07-12 14:46:21,R_2rOdbw9Aiq2xihT,,,,,52.5771942138671875,-2.1078948974609375,anonymous,EN,4,1,25,2,4,7,1.2,5.845,6.033,2,1,34.126,34.424,34.731,2,1,0,0,28.691,0,1,,,,,,4,4,3,4,5,2,5,5,4,5,8,9,7,8,Off,Off,Off,On,Off,Off,Off,On,Off,Off,Off,Off,"This was very different, but interesting. Thanks alot. Please feel free to invite me to any further studies.",3280397
