StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,sbj_id,pre_anger,pre_shame,pre_happy,pre_sad,pre_afraid,pre_sb_1,pre_sb_2,pre_sb_3,pre_sb_4,pre_sb_5,pre_sb_6,pre_sb_7,pre_sb_8,pre_sb_9,pre_d_1,pre_d_2,pre_d_3,pre_d_4,Anx_S_1,Anx_S_2,Anx_S_3,Anx_S_4,Anx_S_5,Anx_S_6,Anx_S_7,Anx_S_8,Anx_S_9,Anx_S_10,Anx_S_11,Anx_S_12,Anx_S_13,Anx_S_14,Anx_S_15,Anx_S_16,Anx_S_17,Anx_S_18,Anx_S_19,Anx_S_20
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Participant ID,I feel angry,I feel ashamed,I feel happy,I feel sad,I feel afraid,I feel small,I feel vulnerable,I feel like avoiding eye contact with the judges,I would like to disappear from the room,It has been stressful to interact with the judges,I feel like leaving the room immediately,I would like to avoid the judges,I would find it difficult to interact with the judges again in this room,I feel like I need to explain myself,I feel somewhat inadequate,I feel like an outsider,I feel like the judges fails to perceive me as a worthy and likable person,I feel good about myself,I feel calm.,I feel secure.,I am tense.,I feel strained.,I feel at ease.,I feel upset.,I am presently worrying over possible misfortunes.,I feel satisfied.,I feel frightened.,I feel comfortable.,I feel self-confident.,I feel nervous.,I am jittery.,I feel indecisive.,I am relaxed.,I feel content.,I am worried.,I feel confused.,I feel steady.,I feel pleasant.
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID75_TEXT""}","{""ImportId"":""QID18""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36""}","{""ImportId"":""QID37""}","{""ImportId"":""QID38""}","{""ImportId"":""QID20""}","{""ImportId"":""QID40""}","{""ImportId"":""QID41""}","{""ImportId"":""QID42""}","{""ImportId"":""QID43""}","{""ImportId"":""QID44""}","{""ImportId"":""QID45""}","{""ImportId"":""QID46""}","{""ImportId"":""QID47""}","{""ImportId"":""QID30""}","{""ImportId"":""QID48""}","{""ImportId"":""QID49""}","{""ImportId"":""QID50""}","{""ImportId"":""QID54""}","{""ImportId"":""QID55""}","{""ImportId"":""QID56""}","{""ImportId"":""QID57""}","{""ImportId"":""QID58""}","{""ImportId"":""QID59""}","{""ImportId"":""QID60""}","{""ImportId"":""QID61""}","{""ImportId"":""QID62""}","{""ImportId"":""QID63""}","{""ImportId"":""QID64""}","{""ImportId"":""QID65""}","{""ImportId"":""QID66""}","{""ImportId"":""QID67""}","{""ImportId"":""QID68""}","{""ImportId"":""QID69""}","{""ImportId"":""QID70""}","{""ImportId"":""QID71""}","{""ImportId"":""QID72""}","{""ImportId"":""QID73""}"
2019-07-15 10:01:58,2019-07-15 12:26:56,0,192.170.202.224,100,8698,1,2019-07-15 12:26:57,R_3HNXgMlq3YOynRE,,,,,41.7821044921875,-87.6045989990234375,anonymous,EN,001,1,2,6,1,1,1,1,2,1,2,1,1,2,2,1,1,2,2,3,3,2,2,3,1,1,3,1,3,3,2,1,1,3,3,2,1,3,2
2019-07-15 12:28:01,2019-07-15 13:38:15,0,192.170.202.224,100,4213,1,2019-07-15 13:38:15,R_3J4MnNp4EzMA3Sz,,,,,41.7821044921875,-87.6045989990234375,anonymous,EN,002,1,1,6,1,1,1,1,1,1,1,1,1,1,1,5,1,1,3,4,1,3,2,3,2,1,3,1,1,1,2,2,2,2,3,1,1,3,2
2019-07-15 13:42:43,2019-07-15 14:54:58,0,192.170.202.224,100,4335,1,2019-07-15 14:54:59,R_1Gi7lX1edrISsx3,,,,,41.7821044921875,-87.6045989990234375,anonymous,EN,003,1,1,5,1,1,1,1,3,1,1,1,1,1,1,1,2,2,3,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2
2019-07-16 10:10:09,2019-07-16 11:59:46,0,192.170.202.224,100,6577,1,2019-07-16 11:59:46,R_eyXxmmArTdGno65,,,,,41.7821044921875,-87.6045989990234375,anonymous,EN,004,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,2,1,1,2,1,2,2,1,1,1,2,2,1,1,2,2
2019-07-16 12:02:51,2019-07-16 13:25:24,0,192.170.202.224,100,4953,1,2019-07-16 13:25:25,R_BRsOPXf1oVy5GP7,,,,,41.7821044921875,-87.6045989990234375,anonymous,EN,005,5,4,4,2,2,1,1,3,1,3,1,1,3,1,1,1,2,3,3,2,2,3,3,1,2,2,1,2,2,2,1,2,2,2,2,2,2,2
2019-07-16 13:52:36,2019-07-16 15:03:25,0,192.170.202.224,100,4249,1,2019-07-16 15:03:26,R_3HhLFShb5qWHWlL,,,,,41.7821044921875,-87.6045989990234375,anonymous,EN,006,2,3,4,5,1,1,3,6,4,4,4,4,3,3,5,1,2,4,3,3,3,3,2,2,1,3,2,3,3,3,2,1,3,3,2,2,3,3
2019-07-16 15:16:37,2019-07-16 16:37:48,0,192.170.202.224,100,4870,1,2019-07-16 16:37:48,R_DjHuFTWfkj6l3z3,,,,,41.7821044921875,-87.6045989990234375,anonymous,EN,007,1,1,5,1,1,3,4,1,1,2,1,3,4,4,3,1,3,4,2,3,2,1,3,2,1,3,1,3,3,1,1,2,3,3,1,1,3,2
2019-07-17 10:34:37,2019-07-17 12:07:39,0,192.170.202.224,100,5582,1,2019-07-17 12:07:40,R_40IYYWQuxGS7PH3,,,,,41.7821044921875,-87.6045989990234375,anonymous,EN,008,3,3,3,3,4,2,2,3,3,4,4,3,3,4,3,3,4,6,3,3,3,3,4,3,2,4,3,2,3,3,2,2,4,4,2,2,3,4
2019-07-17 12:23:22,2019-07-17 13:52:07,0,192.170.202.224,100,5324,1,2019-07-17 13:52:07,R_2e4LhnW0iquCqHm,,,,,41.7821044921875,-87.6045989990234375,anonymous,EN,009,2,3,3,3,4,5,2,7,6,7,5,6,5,4,3,3,2,5,4,3,4,3,4,2,2,3,2,3,3,4,4,2,3,3,3,4,3,3
2019-07-17 13:52:08,2019-07-17 15:12:27,0,192.170.202.224,100,4819,1,2019-07-17 15:12:27,R_pAVvAYe7VWIh32x,,,,,41.7821044921875,-87.6045989990234375,anonymous,EN,010,4,6,3,5,7,6,5,7,4,7,5,7,7,7,6,4,7,5,4,3,4,4,4,2,1,4,3,4,4,4,2,1,4,4,2,2,4,4
2019-07-18 10:47:25,2019-07-18 11:57:29,0,192.170.202.224,100,4204,1,2019-07-18 11:57:30,R_3M4OCaRqc2tFNpp,,,,,41.7821044921875,-87.6045989990234375,anonymous,EN,011,4,4,3,1,1,5,2,7,6,7,1,7,7,7,5,1,6,5,2,3,3,4,3,2,1,3,1,3,2,3,1,1,3,2,1,1,3,2
2019-07-18 12:01:06,2019-07-18 13:45:49,0,192.170.202.224,100,6282,1,2019-07-18 13:45:49,R_111rbXgRXXxjwYl,,,,,41.7821044921875,-87.6045989990234375,anonymous,EN,012,4,5,5,4,5,2,2,6,2,4,4,4,5,5,4,4,5,3,2,2,3,3,2,3,3,2,3,2,2,3,2,2,2,2,3,3,2,2
2019-07-18 13:50:08,2019-07-18 15:05:44,0,192.170.202.224,100,4536,1,2019-07-18 15:05:45,R_31Y6QXJlmJ77XYT,,,,,41.7821044921875,-87.6045989990234375,anonymous,EN,013,4,7,2,7,5,7,7,7,6,7,7,5,7,7,7,7,4,7,4,3,4,4,4,4,4,4,4,3,3,4,4,1,4,3,4,3,3,4
2019-07-18 15:06:03,2019-07-18 16:32:43,0,192.170.202.224,100,5199,1,2019-07-18 16:32:43,R_Z7wneIy02p3GJyN,,,,,41.7821044921875,-87.6045989990234375,anonymous,EN,014,2,2,4,2,2,3,1,1,1,2,2,1,1,3,1,2,2,3,1,3,3,1,3,3,1,2,1,3,1,3,1,3,3,2,1,2,2,2
2019-07-22 10:31:52,2019-07-22 12:01:56,0,192.170.202.224,100,5403,1,2019-07-22 12:01:58,R_1DRRCTBhDjcgsd9,,,,,41.7821044921875,-87.6045989990234375,anonymous,EN,015,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,3,1,4,4,1,3,4,1,4,3,1,4,4,4,1,1,4,4,1,1
2019-07-22 12:10:55,2019-07-22 13:49:43,0,192.170.202.224,100,5927,1,2019-07-22 13:49:43,R_1giJBN6UYUx4pco,,,,,41.7821044921875,-87.6045989990234375,anonymous,EN,016,1,1,2,2,1,1,1,1,1,2,1,1,1,1,1,2,1,2,2,2,2,1,2,1,2,2,1,1,1,2,1,1,2,2,1,1,1,2
