StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,sbj_id,pre_anger,pre_shame,pre_happy,pre_sad,pre_afraid,pre_sb_1,pre_sb_2,pre_sb_3,pre_sb_4,pre_sb_5,pre_sb_6,pre_sb_7,pre_sb_8,pre_sb_9,pre_d_1,pre_d_2,pre_d_3,pre_d_4,Anx_S_1,Anx_S_2,Anx_S_3,Anx_S_4,Anx_S_5,Anx_S_6,Anx_S_7,Anx_S_8,Anx_S_9,Anx_S_10,Anx_S_11,Anx_S_12,Anx_S_13,Anx_S_14,Anx_S_15,Anx_S_16,Anx_S_17,Anx_S_18,Anx_S_19,Anx_S_20
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Participant ID,I feel angry,I feel ashamed,I feel happy,I feel sad,I feel afraid,I feel small,I feel vulnerable,I feel like avoiding eye contact with the experimenter,I would like to disappear from the room,It has been stressful to interact with the experimenter,I feel like leaving the room immediately,I would like to avoid the experimenter,I would find it difficult to interact with the experimenter again in this room,I feel like I need to explain myself,I feel somewhat inadequate,I feel like an outsider,I feel like the experimenter fails to perceive me as a worthy and likable person,I feel good about myself,I feel calm.,I feel secure.,I am tense.,I feel strained.,I feel at ease.,I feel upset.,I am presently worrying over possible misfortunes.,I feel satisfied.,I feel frightened.,I feel comfortable.,I feel self-confident.,I feel nervous.,I am jittery.,I feel indecisive.,I am relaxed.,I feel content.,I am worried.,I feel confused.,I feel steady.,I feel pleasant.
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID75_TEXT""}","{""ImportId"":""QID18""}","{""ImportId"":""QID35""}","{""ImportId"":""QID36""}","{""ImportId"":""QID37""}","{""ImportId"":""QID38""}","{""ImportId"":""QID20""}","{""ImportId"":""QID40""}","{""ImportId"":""QID41""}","{""ImportId"":""QID42""}","{""ImportId"":""QID43""}","{""ImportId"":""QID44""}","{""ImportId"":""QID45""}","{""ImportId"":""QID46""}","{""ImportId"":""QID47""}","{""ImportId"":""QID30""}","{""ImportId"":""QID48""}","{""ImportId"":""QID49""}","{""ImportId"":""QID50""}","{""ImportId"":""QID54""}","{""ImportId"":""QID55""}","{""ImportId"":""QID56""}","{""ImportId"":""QID57""}","{""ImportId"":""QID58""}","{""ImportId"":""QID59""}","{""ImportId"":""QID60""}","{""ImportId"":""QID61""}","{""ImportId"":""QID62""}","{""ImportId"":""QID63""}","{""ImportId"":""QID64""}","{""ImportId"":""QID65""}","{""ImportId"":""QID66""}","{""ImportId"":""QID67""}","{""ImportId"":""QID68""}","{""ImportId"":""QID69""}","{""ImportId"":""QID70""}","{""ImportId"":""QID71""}","{""ImportId"":""QID72""}","{""ImportId"":""QID73""}"
2019-07-15 10:01:51,2019-07-15 12:27:44,0,192.170.202.224,100,8753,1,2019-07-15 12:27:45,R_0iVbmQcCenES2Rj,,,,,41.7821044921875,-87.6045989990234375,anonymous,EN,001,1,1,6,1,1,1,1,1,1,1,1,1,1,3,1,1,5,2,2,2,1,1,2,1,1,2,1,2,2,1,1,1,2,2,1,1,2,2
2019-07-15 12:27:50,2019-07-15 13:16:17,0,192.170.202.224,100,2907,1,2019-07-15 13:16:18,R_2tlq4EkP9HU7msc,,,,,41.7821044921875,-87.6045989990234375,anonymous,EN,002,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,2,3,1,1,1,1,1,1,1,1,1,1,1,2
2019-07-15 13:42:36,2019-07-15 14:33:50,0,192.170.202.224,100,3073,1,2019-07-15 14:33:50,R_3pro0YcG3KEuDnm,,,,,41.7821044921875,-87.6045989990234375,anonymous,EN,003,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2019-07-16 10:10:01,2019-07-16 12:02:41,0,192.170.202.224,100,6759,1,2019-07-16 12:02:41,R_12xKSgE7vvt6G7n,,,,,41.7821044921875,-87.6045989990234375,anonymous,EN,004,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,1,1,2,1,2,2,1,1,1,2,1,1,1,2,1
2019-07-16 12:02:46,2019-07-16 13:52:26,0,192.170.202.224,100,6580,1,2019-07-16 13:52:27,R_2XdOlCH73IOiRBk,,,,,41.7821044921875,-87.6045989990234375,anonymous,EN,005,2,4,5,3,3,1,2,1,1,1,1,1,1,1,4,2,1,3,2,2,2,2,2,2,3,2,2,1,2,2,1,1,1,3,2,1,3,2
2019-07-16 13:52:30,2019-07-16 14:39:30,0,192.170.202.224,100,2820,1,2019-07-16 14:39:30,R_1IyCRGhgGq07T7t,,,,,41.7821044921875,-87.6045989990234375,anonymous,EN,006,1,1,4,1,1,1,1,2,1,1,1,1,1,1,2,1,1,2,1,2,1,1,2,1,1,2,1,2,2,1,1,1,2,2,1,1,2,3
2019-07-16 15:16:35,2019-07-17 10:39:44,0,192.170.202.224,100,69788,1,2019-07-17 10:39:44,R_1mzwu7GGTfi6vKO,,,,,41.7821044921875,-87.6045989990234375,anonymous,EN,007,1,2,5,1,1,2,3,1,1,1,1,1,1,3,3,1,1,3,1,2,1,1,2,1,1,3,1,2,2,1,2,2,2,2,1,1,4,1
2019-07-17 10:39:45,2019-07-17 12:23:29,0,192.170.202.224,100,6223,1,2019-07-17 12:23:30,R_1OB6mSP2mNmiUHj,,,,,41.7821044921875,-87.6045989990234375,anonymous,EN,008,2,2,4,2,3,2,2,3,2,1,1,1,1,1,2,2,1,3,2,2,2,2,2,1,1,2,2,2,3,1,2,2,2,3,2,1,3,2
